Nov 25 10:55:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 125, retried or failed 4
Nov 25 10:55:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 68, retried or failed 0
Nov 25 10:55:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 22, retried or failed 0
Nov 25 10:55:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 22, retried or failed 0
Nov 25 10:55:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 22, retried or failed 0
Nov 25 10:55:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 125, retried or failed 4
Nov 25 10:55:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 71, retried or failed 0
Nov 25 10:55:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 23, retried or failed 0
Nov 25 10:55:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 23, retried or failed 0
Nov 25 10:55:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 23, retried or failed 0
Nov 25 10:55:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 126, retried or failed 4
Nov 25 10:56:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 78, retried or failed 0
Nov 25 10:56:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 23, retried or failed 0
Nov 25 10:56:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 23, retried or failed 0
Nov 25 10:56:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 23, retried or failed 0
Nov 25 10:56:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 126, retried or failed 4
Nov 25 10:56:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 78, retried or failed 0
Nov 25 10:56:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 23, retried or failed 0
Nov 25 10:56:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 23, retried or failed 0
Nov 25 10:56:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 23, retried or failed 0
Nov 25 10:56:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 126, retried or failed 4
Nov 25 10:56:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 80, retried or failed 0
Nov 25 10:56:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 24, retried or failed 0
Nov 25 10:56:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 24, retried or failed 0
Nov 25 10:56:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 24, retried or failed 0
Nov 25 10:56:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 127, retried or failed 4
Nov 25 10:56:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 80, retried or failed 0
Nov 25 10:56:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 24, retried or failed 0
Nov 25 10:56:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 24, retried or failed 0
Nov 25 10:56:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 24, retried or failed 0
Nov 25 10:56:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 127, retried or failed 4
Nov 25 10:56:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 80, retried or failed 0
Nov 25 10:56:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 24, retried or failed 0
Nov 25 10:56:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 24, retried or failed 0
Nov 25 10:56:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 24, retried or failed 0
Nov 25 10:56:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 127, retried or failed 4
Nov 25 10:56:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 82, retried or failed 0
Nov 25 10:56:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 25, retried or failed 0
Nov 25 10:56:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 25, retried or failed 0
Nov 25 10:56:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 25, retried or failed 0
Nov 25 10:56:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 128, retried or failed 4
Nov 25 10:57:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 86, retried or failed 0
Nov 25 10:57:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 25, retried or failed 0
Nov 25 10:57:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 25, retried or failed 0
Nov 25 10:57:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 25, retried or failed 0
Nov 25 10:57:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 128, retried or failed 4
Nov 25 10:57:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 86, retried or failed 0
Nov 25 10:57:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 25, retried or failed 0
Nov 25 10:57:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 25, retried or failed 0
Nov 25 10:57:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 25, retried or failed 0
Nov 25 10:57:17 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 128, retried or failed 4
Nov 25 10:57:27 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 86, retried or failed 0
Nov 25 10:57:27 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 25, retried or failed 0
Nov 25 10:57:27 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 25, retried or failed 0
Nov 25 10:57:27 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 25, retried or failed 0
Nov 25 10:57:27 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 128, retried or failed 4
Nov 25 10:57:37 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 86, retried or failed 0
Nov 25 10:57:37 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 25, retried or failed 0
Nov 25 10:57:37 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 25, retried or failed 0
Nov 25 10:57:37 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 25, retried or failed 0
Nov 25 10:57:37 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 128, retried or failed 4
Nov 25 10:57:47 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 88, retried or failed 0
Nov 25 10:57:47 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 26, retried or failed 0
Nov 25 10:57:47 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 26, retried or failed 0
Nov 25 10:57:47 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 26, retried or failed 0
Nov 25 10:57:47 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 129, retried or failed 4
Nov 25 10:57:57 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 89, retried or failed 0
Nov 25 10:57:57 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 26, retried or failed 0
Nov 25 10:57:57 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 26, retried or failed 0
Nov 25 10:57:57 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 26, retried or failed 0
Nov 25 10:57:57 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 129, retried or failed 4
Nov 25 10:58:07 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 89, retried or failed 0
Nov 25 10:58:07 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 26, retried or failed 0
Nov 25 10:58:07 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 26, retried or failed 0
Nov 25 10:58:07 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 26, retried or failed 0
Nov 25 10:58:07 real dnsmasq[19417]: server 8.8.4.4#53: queries sent 129, retried or failed 4
Nov 25 10:58:17 real dnsmasq[19417]: server 10.129.36.245#53: queries sent 90, retried or failed 0
Nov 25 10:58:17 real dnsmasq[19417]: server 208.67.222.222#53: queries sent 27, retried or failed 0
Nov 25 10:58:17 real dnsmasq[19417]: server 208.67.220.220#53: queries sent 27, retried or failed 0
Nov 25 10:58:17 real dnsmasq[19417]: server 8.8.8.8#53: queries sent 27, retried or failed 0
